Query,shape_name,Qty,Qty.UOM,material_type,production_process,cold_finishing_process,heat_treated_condition,surface_condition,surface_finish,end_type,edge_type,standard_designation,quality_designation,d_grade,uom_system,d_size,d_height,rebar_size_designation,cross_sectional_area,structural_size_designation,d_depth,flange_thickness,web_thickness,d_sidea,d_sideb,d_width,d_wallthickness,d_outerdiameter,d_innerdiameter,d_nominalsize,d_schedule,d_thickness,d_gauge,d_length,d_swd,d_type,weight_per_length,weight_per_surface_area,weight_per_piece,coating_type,coating_designation,coating_thickness,coating_weightt
Stair Tread Grip Strut SS 10 x36  14GA - Qty: 25,Grip Strut , 25 ,  piece ,  Stainless Steel ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 10 ,  ,  ,  ,  ,  ,  , 14 , 36 ,,,  ,  ,  ,  ,  ,  ,
(2) 3/4 #9 x 48LWD x 96 SWD Std Exp Metal,Expanded Metal , 2 ,  piece ,  Carbon Steel ,  ,  ,  ,,  ,  ,  ,  ,  ,  , Imperial ,,,  ,  ,  ,  ,  ,  ,  ,  , 48 ,  ,  ,  ,  ,  ,  , 9 , 96 ,0.75,,  ,  ,  ,  ,  ,  ,
Expanded Metal Galv. Steel 4’x8’ 3/4  #9 Raised - Qty: 100,Expanded Metal , 100 ,  piece ,  Carbon Steel ,  ,  ,  ,  Galvanized ,  ,  ,  ,  ,  ,  , Imperial ,,,  ,  ,  ,  ,  ,  ,  ,  , 48 ,  ,  ,  ,  ,  ,  , 9 , 96 , 0.75 , Standard ,  ,  ,  ,  ,  ,  ,
(75) Flattened X-Metal Al 4’x10’ 1/2  #13,Expanded Metal , 75 ,  piece ,  Aluminum ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,,,  ,  ,  ,  ,  ,  ,  ,  , 48 ,  ,  ,  ,  ,  ,  , 13 , 120 , 0.75 , Flattened ,  ,  ,  ,  ,  ,  ,
1  #16 Raised Exp Metal SS 3’x8’ - Qty: 50,Expanded Metal , 50 ,  piece ,  Stainless Steel ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,,,  ,  ,  ,  ,  ,  ,  ,  , 36 ,  ,  ,  ,  ,  ,  , 16 , 96 , 0.5 , Standard ,  ,  ,  ,  ,  ,  ,
X-Metal 3/4  #9 Flattened 5’x10’ (60),Expanded Metal , 60 ,  piece ,  Carbon Steel ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,,,  ,  ,  ,  ,  ,  ,  ,  , 60 ,  ,  ,  ,  ,  ,  , 9 , 120 , 1 , Flattened ,  ,  ,  ,  ,  ,  ,
80 sheets Galv X Metal 3’x6’ 1/2  #16 Raised,Expanded Metal , 80 ,  piece ,  Carbon Steel ,  ,  ,  ,  Galvanized ,  ,  ,  ,  ,  ,  , Imperial ,,,  ,  ,  ,  ,  ,  ,  ,  , 36 ,  ,  ,  ,  ,  ,  , 16 , 72 , 0.75 , Standard ,  ,  ,  ,  ,  ,  ,
"SS Exp Metal 4’LWDx8’SWD 1/2  #9 Raised, 90 sheets",Expanded Metal , 90 ,  piece ,  Stainless Steel ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,,,  ,  ,  ,  ,  ,  ,  ,  , 48 ,  ,  ,  ,  ,  ,  , 9 , 96 , 0.5 , Standard ,  ,  ,  ,  ,  ,  ,
70 nos. X-Metal 4’x10’ 1  #13 Flattened sheets,Expanded Metal , 70 ,  piece ,  Carbon Steel ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,,,  ,  ,  ,  ,  ,  ,  ,  , 48 ,  ,  ,  ,  ,  ,  , 13 , 120 , 1 , Flattened ,  ,  ,  ,  ,  ,  ,
Galv. Steel X-Metal 2’x4’ 3/4  #16 Raised - Qty: 120,Expanded Metal , 120 ,  piece ,  Carbon Steel ,  ,  ,  ,  Galvanized ,  ,  ,  ,  ,  ,  , Imperial ,,,  ,  ,  ,  ,  ,  ,  ,  , 24 ,  ,  ,  ,  ,  ,  , 16 , 48 , 0.75 , Standard ,  ,  ,  ,  ,  ,  ,
"Steel X-Metal 5’x10’ 3/4  #13 Raised, 55 sheets",Expanded Metal , 55 ,  piece ,  Carbon Steel ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,,,  ,  ,  ,  ,  ,  ,  ,  , 60 ,  ,  ,  ,  ,  ,  , 13 , 120 , 0.75 , Standard ,  ,  ,  ,  ,  ,  ,
SS X-Metal 4’x12’ 1  #16 Flattened - Qty: 85,Expanded Metal , 85 ,  piece ,  Stainless Steel ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,,,  ,  ,  ,  ,  ,  ,  ,  , 48 ,  ,  ,  ,  ,  ,  , 16 , 144 , 1 , Flattened ,  ,  ,  ,  ,  ,  ,
(95) 1/2  #9 Raised Galv. Steel X-Metal 3’x6’,Expanded Metal , 95 ,  piece ,  Carbon Steel ,  ,  ,  ,  Galvanized ,  ,  ,  ,  ,  ,  , Imperial ,,,  ,  ,  ,  ,  ,  ,  ,  , 36 ,  ,  ,  ,  ,  ,  , 9 , 72 ,0.5, Standard ,  ,  ,  ,  ,  ,  ,
Al X-Metal 3/4  #16x4’x8’ Flattened Qty 50,Expanded Metal , 50 ,  piece ,  Aluminum ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,,,  ,  ,  ,  ,  ,  ,  ,  , 48 ,  ,  ,  ,  ,  ,  , 16 , 96 , 0.75 , Flattened ,  ,  ,  ,  ,  ,  ,
SS 2’x4’ 1/2  #13 X-Metal Raised (110nos.),Expanded Metal , 110 ,  piece ,  Stainless Steel ,  ,  ,  ,  ,,  ,  ,  ,  ,  , Imperial ,,,  ,  ,  ,  ,  ,  ,  ,  , 24 ,  ,  ,  ,  ,  ,  , 13 , 48 , 0.5 , Standard ,  ,  ,  ,  ,  ,  ,
Steel X-Metal 5’x10’ 3/4  #9 Flattened - Qty: 75,Expanded Metal , 75 ,  piece ,  Carbon Steel ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,,,  ,  ,  ,  ,  ,  ,  ,  , 60 ,  ,  ,  ,  ,  ,  , 9 , 120 , 0.75 , Flattened ,  ,  ,  ,  ,  ,  ,
"Flattened Al X-Metal 3’x6’ 1/2  #16, 60 shts",Expanded Metal , 60 ,  piece ,  Aluminum ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 36 ,  ,  ,  ,  ,  ,  , 16 , 72 , 0.5 , Flattened ,  ,  ,  ,  ,  ,  ,
80 sheets of 4’x10’ 3/4  #9 Raised SS Exp Metal,Expanded Metal , 80 ,  piece ,  Stainless Steel ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 48 ,  ,  ,  ,  ,  ,  , 9 , 120 , 0.75 , Standard ,  ,  ,  ,  ,  ,  ,
(90) 3’x8’ 1  #13 Steel Exp Metal sheet,Expanded Metal , 90 ,  piece ,  Carbon Steel ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 36 ,  ,  ,  ,  ,  ,  , 13 , 96 , 1 ,,  ,  ,  ,  ,  ,  ,
1 X 3/16  x 24 x 240 CQ BAR GRATE (5),Bar Grating , 1 ,  piece ,  Carbon Steel ,  ,  ,  ,  ,  ,  ,  ,  , CQ ,  , Imperial ,, 1 ,  ,  ,  ,  ,  ,  ,  ,  , 24 ,  ,  ,  ,  ,  ,0.1875,  , 240 ,,,  ,  ,  ,  ,  ,  ,
5 nos. 1 1/4  x 3/16  x 2' x 20' CQ BAR GRATE,Bar Grating , 5 ,  piece ,  Carbon Steel ,  ,  ,  ,  ,  ,  ,  ,  , CQ ,  , Imperial ,,1.25,  ,  ,  ,  ,  ,  ,  ,  , 24 ,  ,  ,  ,  ,  ,0.1875,  , 240 ,,,  ,  ,  ,  ,  ,  ,
"Qty. 6, 19-W-4 1 x 3/16 x 36 - 240 BAR GRATE",Bar Grating , 6 ,  piece ,  Carbon Steel ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,, 1 ,  ,  ,  ,  ,  ,  ,  ,  , 36 ,  ,  ,  ,  ,  , 0.1875 ,  , 240 ,, 19W4 ,  ,  ,  ,  ,  ,  ,
"19-W-4 1 x 3/16  x 42 - 20' - 0 CQ GRATE, 5 pieces",Bar Grating , 5 ,  piece ,  Carbon Steel ,  ,  ,  ,  ,  ,  ,  ,  , CQ ,  , Imperial ,, 1 ,  ,  ,  ,  ,  ,  ,  ,  , 42 ,  ,  ,  ,  ,  , 0.1875 ,  , 240 ,, 19W4 ,  ,  ,  ,  ,  ,  ,
(15) 19W4 1x3/16 x24x288 BAR GRATING,Bar Grating , 15 ,  piece ,  Carbon Steel ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,, 1 ,  ,  ,  ,  ,  ,  ,  ,  , 24 ,  ,  ,  ,  ,  , 0.1875 ,  , 288 ,, 19W4 ,  ,  ,  ,  ,  ,  ,
Al Bar Grating 11-P-2 24 x96  1-1/4 x1/8  - Qty: 40,Bar Grating , 40 ,  piece ,  Aluminum ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,, 1.25 ,  ,  ,  ,  ,  ,  ,  ,  , 24 ,  ,  ,  ,  ,  , 0.125 ,  , 96 ,, 11P2 ,  ,  ,  ,  ,  ,  ,
15R2 SS Riveted Bar Grating 48 x120  2 x3/16  30nos.,Bar Grating , 30 ,  piece ,  Stainless Steel ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,, 2 ,  ,  ,  ,  ,  ,  ,  ,  , 48 ,  ,  ,  ,  ,  , 0.1875 ,  , 120 ,, 15R2 ,  ,  ,  ,  ,  ,  ,
11-W-4 Grating 36 x96  Qty: 50,Bar Grating , 50 ,  piece ,  Carbon Steel ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,,  ,  ,  ,  ,  ,  ,  ,  ,  , 36 ,  ,  ,  ,  ,  ,  ,  , 96 ,, 11W4 ,  ,  ,  ,  ,  ,  ,
Galv Bar Grating 11W4 24 x120  Qty: 70,Bar Grating , 70 ,  piece ,  Carbon Steel ,  ,  ,  ,  Galvanized ,  ,  ,  ,  ,  ,  , Imperial ,,  ,  ,  ,  ,  ,  ,  ,  ,  , 24 ,  ,  ,  ,  ,  ,  ,  , 120 ,, 11W4 ,  ,  ,  ,  ,  ,  ,
Al Bar Grating 15P2 36 x96  1-1/4 x3/16  (60),Bar Grating , 60 ,  piece ,  Aluminum ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,, 1.25 ,  ,  ,  ,  ,  ,  ,  ,  , 36 ,  ,  ,  ,  ,  , 0.1875 ,  , 96 ,, 15P2 ,  ,  ,  ,  ,  ,  ,
SS 11-R-4 2 x1/4  Bar Grate 24 x120  (40),Bar Grating , 40 ,  piece ,  Stainless Steel ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,,2,  ,  ,  ,  ,  ,  ,  ,  , 24 ,  ,  ,  ,  ,  ,0.25,  , 120 ,, 11R2 ,  ,  ,  ,  ,  ,  ,
(90) 19W2 Grating 1-1/2x3/16 48 x120 ,Bar Grating , 90 ,  piece ,  Carbon Steel ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,  , 1.5 ,  ,  ,  ,  ,  ,  ,  ,  , 48 ,  ,  ,  ,  ,  , 0.1875 ,  , 120 ,, 19W2 ,  ,  ,  ,  ,  ,  ,
Galvanized Bar Grating 36 x96  1 x1/4  19-R-5 (50),Bar Grating , 50 ,  piece ,  Carbon Steel ,  ,  ,  ,  Galvanized ,  ,  ,  ,  ,  ,  , Imperial ,  , 1 ,  ,  ,  ,  ,  ,  ,  ,  , 36 ,  ,  ,  ,  ,  , 0.25 ,  , 96 ,, 19R5 ,  ,  ,  ,  ,  ,  ,
"11P4 Al Grating 24x120, Qty: 80",Bar Grating , 80 ,  piece ,  Aluminum ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 24 ,  ,  ,  ,  ,  ,  ,  , 120 ,, 11P4 ,  ,  ,  ,  ,  ,  ,
Bar Grating SS 36 x120  2 x3/16  Press-Locked - Qty: 30,Bar Grating , 30 ,  piece ,  Stainless Steel ,  Press-Locked ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,  , 2 ,  ,  ,  ,  ,  ,  ,  ,  , 36 ,  ,  ,  ,  ,  , 0.1875 ,  , 120 ,,,  ,  ,  ,  ,  ,  ,
Bar Grating Galv. Steel 48 x120  1 x3/16  Welded - Qty: 60,Bar Grating , 60 ,  piece ,  Carbon Steel ,  Welded ,  ,  ,  Galvanized ,  ,  ,  ,  ,  ,  , Imperial ,  , 1 ,  ,  ,  ,  ,  ,  ,  ,  , 48 ,  ,  ,  ,  ,  , 0.1875 ,  , 120 ,,,  ,  ,  ,  ,  ,  ,
Bar Grating Alum. 36 x96  1-1/4 x1/8  Press-Locked - Qty: 40,Bar Grating , 40 ,  piece ,  Aluminum ,  Press-Locked ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,  , 1.25 ,  ,  ,  ,  ,  ,  ,  ,  , 36 ,  ,  ,  ,  ,  , 0.125 ,  , 96 ,,,  ,  ,  ,  ,  ,  ,
Bar Grating SS 24 x120  2 x1/4  Riveted - Qty: 50,Bar Grating , 50 ,  piece ,  Stainless Steel ,  Riveted ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,, 2 ,  ,  ,  ,  ,  ,  ,  ,  ,24,  ,  ,  ,  ,  , 0.25 ,  ,120,,,  ,  ,  ,  ,  ,  ,
Bar Grating Carbon Steel 36 x120  1-1/2 x3/16  Welded - Qty: 90,Bar Grating , 90 ,  piece ,  Carbon Steel ,  Welded ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,  , 1.5 ,  ,  ,  ,  ,  ,  ,  ,  , 36 ,  ,  ,  ,  ,  , 0.1875 ,  , 120 ,,,  ,  ,  ,  ,  ,  ,
Bar Grating Galv. Steel 24 x96  1 x1/8  Press-Locked - Qty: 70,Bar Grating , 70 ,  piece ,  Carbon Steel ,  Press-Locked ,  ,  ,  Galvanized ,  ,  ,  ,  ,  ,  , Imperial ,  , 1 ,  ,  ,  ,  ,  ,  ,  ,  , 24 ,  ,  ,  ,  ,  , 0.125 ,  , 96 ,,,  ,  ,  ,  ,  ,  ,
Bar Grating Alum. 48 x120  1-1/4 x1/4  Riveted - Qty: 60,Bar Grating , 60 ,  piece ,  Aluminum ,  Riveted ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,  , 1.25 ,  ,  ,  ,  ,  ,  ,  ,  , 48 ,  ,  ,  ,  ,  , 0.25 ,  , 120 ,,,  ,  ,  ,  ,  ,  ,
Bar Grating Carbon Steel 24 x120  1-1/2 x1/8  Press-Locked - Qty: 50,Bar Grating , 50 ,  piece ,  Carbon Steel ,  Press-Locked ,  ,  ,  ,  ,  ,  ,  ,  ,  , Imperial ,  , 1.5 ,  ,  ,  ,  ,  ,  ,  ,  , 24 ,  ,  ,  ,  ,  , 0.125 ,  , 120 ,,,  ,  ,  ,  ,  ,  ,
